NAME	X	Y
TYPE	numeric	numeric
MGH36_P1_A03	-0.615218917	-0.970606599
MGH36_P1_A08	-0.255672456	-0.653310373
MGH36_P1_F11	1.194845568	-0.332294201
MGH36_P3_A02	-0.318087635	0.26113525
MGH36_P3_B03	-0.334976702	0.029025215
MGH36_P3_B09	1.439526276	-0.502024608
MGH36_P3_E06	0.655236285	0.218687001
MGH36_P3_E07	1.530128064	-0.815153527
MGH36_P3_F01	1.206332901	-0.273384743
MGH36_P4_A04	2.516764559	-1.893383116
MGH36_P4_D05	-0.114796051	0.733968558
MGH36_P4_E01	1.475946425	-1.385720725
MGH36_P4_E06	2.007648816	-1.56134632
MGH36_P4_E10	-0.430138112	0.240793077
MGH36_P4_G01	-0.248416135	0.198703845
MGH36_P4_G08	1.287886692	-0.610367722
MGH36_P4_H02	0.713665131	0.148370695
MGH36_P4_H03	-0.822177064	-0.434888643
MGH36_P4_H04	1.283312747	-0.658879464
MGH36_P6_B03	-0.03317925	1.169415695
MGH36_P6_B12	0.131253442	0.038348311
MGH36_P6_D01	0.978910845	-0.432391987
MGH36_P6_D02	0.533081787	0.333618657
MGH36_P6_D05	0.18692377	0.638876593
MGH36_P6_E11	0.105690318	0.615674469
MGH36_P6_G06	1.254514931	-0.798602537
MGH36_P7_A01	0.126998906	0.904357008
MGH36_P7_A02	0.122829661	1.160607769
MGH36_P7_A07	-0.085294398	0.310350427
MGH36_P7_A08	0.179356651	-0.136198452
MGH36_P7_B01	-0.507320569	-0.191853601
MGH36_P7_B12	0.09353602	1.650228233
MGH36_P7_C11	-0.130716285	0.333012593
MGH36_P7_D11	-0.061883297	0.71873239
MGH36_P7_E01	0.041394394	1.95838291
MGH36_P7_E03	-1.54043037	-0.893449714
MGH36_P7_E05	-0.295436164	0.400115662
MGH36_P7_E08	0.0902689	1.042835512
MGH36_P7_G02	0.04220312	1.903379105
MGH36_P7_G09	0.088861256	1.168613623
MGH36_P7_H01	-1.585869358	-1.0368158
MGH36_P7_H08	0.006790599	0.437377858
MGH36_P7_H10	0.142087128	1.92739781
MGH36_P5_A05	0.029537736	1.187480064
MGH36_P5_B10	0.529068831	0.232518405
MGH36_P5_D12	-1.024981058	-0.363922579
MGH36_P5_F10	1.007547489	0.439653537
MGH36_P5_H05	-0.312177092	-0.002824077
MGH36_P10_D11	2.260711427	-2.301769433
MGH36_P10_E05	-0.308463383	-0.288302445
MGH36_P10_F03	0.086766279	0.663995063
MGH36_P10_F06	0.119269012	0.107678668
MGH36_P10_F09	0.510798549	-0.258443756
MGH36_P10_G01	0.049661475	0.984125547
MGH36_P10_G06	1.994409247	-2.100588408
MGH36_P10_H01	1.704934994	-1.550771211
MGH36_P10_H09	-0.859806532	-1.491900103
MGH36_P8_A08	0.921679425	-0.40297085
MGH36_P8_B03	1.810091102	-2.040928337
MGH36_P8_C05	0.102533867	1.169688642
MGH36_P8_E08	0.464358065	-0.402018319
MGH36_P8_F04	-0.579017942	-0.618127234
MGH36_P8_G09	-0.546363639	-0.485542529
MGH36_P8_H03	-0.16385215	-0.201081312
MGH36_P8_H10	-0.489238411	-0.868895962
MGH36_P9_B01	0.94605708	-0.996904217
MGH36_P9_C03	-1.145945622	-1.386742285
MGH36_P9_E10	-0.725139354	-0.384242224
MGH36_P9_E12	0.33205563	-0.377898783
MGH36_P9_F08	0.790126329	-0.837722616
MGH36_P9_G03	0.762471641	-1.373150707
MGH36_P9_G04	2.558325303	-2.406308837
MGH36_P9_H02	1.031376774	-1.153636619
MGH36_P9_H06	0.003999042	0.807593982
MGH36_P9_H08	0.45742403	-0.126125351
MGH36_P2_A01	0.009548823	0.817917386
MGH36_P2_A03	1.230276883	-0.939906505
MGH36_P2_D09	1.159315706	-0.963011818
MGH36_P2_F12	-0.755532306	-0.847771906
MGH36_P2_G09	1.679436869	-1.716527766
MGH36_P2_H04	0.142514475	0.479721456
MGH36_P1_A01	-0.307052762	-0.842502132
MGH36_P1_A02	1.52091588	-1.451567247
MGH36_P1_A04	0.615204733	-0.73483319
MGH36_P1_A05	-1.14415361	-1.868544812
MGH36_P1_A06	-1.313158592	-1.941014794
MGH36_P1_A10	1.084988788	-1.022412845
MGH36_P1_A12	1.559063071	-2.15076981
MGH36_P1_B02	0.518403796	-0.628731956
MGH36_P1_B03	-1.454052023	-1.712979676
MGH36_P1_B04	-0.892643397	-1.467789165
MGH36_P1_B06	1.83933055	-2.126182295
MGH36_P1_B07	-1.891042036	-2.457221105
MGH36_P1_B08	1.299801916	-1.532462259
MGH36_P1_B09	-1.911633937	-2.363127666
MGH36_P1_B10	0.857466748	-1.373505579
MGH36_P1_B11	0.433407199	-0.418107034
MGH36_P1_B12	0.741364161	-1.470805571
MGH36_P1_C01	-1.115205568	-1.391180702
MGH36_P1_C03	-1.130618508	-1.929903939
MGH36_P1_C05	-1.217955743	-1.260681516
MGH36_P1_C06	0.564851801	-0.910999336
MGH36_P1_C07	0.801942237	-1.117260818
MGH36_P1_C08	-1.209108813	-2.048185808
MGH36_P1_C09	-0.708566211	-1.213817943
MGH36_P1_C10	-1.556897841	-2.26320171
MGH36_P1_C11	-1.038314065	-1.745187214
MGH36_P1_D01	-0.882548638	-1.481326301
MGH36_P1_D02	1.266651595	-1.764782056
MGH36_P1_D03	0.610840612	-0.815110846
MGH36_P1_D04	-0.628693727	-1.355394809
MGH36_P1_D06	-2.03993393	-2.52664379
MGH36_P1_D07	1.582573075	-1.673666313
MGH36_P1_D08	-1.891268523	-2.587117167
MGH36_P1_D09	-2.402475904	-2.704944048
MGH36_P1_D11	-1.407846974	-2.063444402
MGH36_P1_F01	-1.144977283	-1.098291419
MGH36_P1_F02	-1.053841998	-1.478648436
MGH36_P1_F03	1.167816713	-1.65935529
MGH36_P1_F04	-1.353523924	-2.10646226
MGH36_P1_F05	-0.214953781	-0.730289277
MGH36_P1_F06	-0.639352402	-1.065984248
MGH36_P1_F08	0.132437734	-0.34115827
MGH36_P1_F12	0.782012365	-1.257351847
MGH36_P1_G02	-1.484888496	-2.421350505
MGH36_P1_G03	1.376799456	-1.880678143
MGH36_P1_G04	-1.221918657	-1.883992948
MGH36_P1_G07	-1.391922044	-2.606416067
MGH36_P1_G08	0.933032018	-1.204690021
MGH36_P1_G09	-1.480825345	-2.100950845
MGH36_P1_H02	-1.530408908	-2.545733714
MGH36_P1_H03	1.330805791	-1.531197237
MGH36_P1_H04	-1.307688131	-1.929834891
MGH36_P1_H05	-1.319828939	-2.446760238
MGH36_P1_H06	0.82423986	-1.1370175
MGH36_P1_H07	-0.826965308	-1.274090465
MGH36_P1_H09	-0.78389465	-1.403918124
MGH36_P1_H10	0.888300454	-1.110425185
MGH36_P3_A01	-1.627134911	-1.445394794
MGH36_P3_A03	-0.949027425	-0.914480221
MGH36_P3_A04	-0.779276443	-0.89161529
MGH36_P3_A05	-0.483779839	-0.971171456
MGH36_P3_A08	-0.703403067	-0.814826433
MGH36_P3_A09	0.437299607	-0.778671867
MGH36_P3_A10	0.745699415	-0.768953579
MGH36_P3_A12	-1.381726454	-1.896907252
MGH36_P3_B02	0.765359216	-0.674802986
MGH36_P3_B04	0.012538823	1.869868472
MGH36_P3_B10	-1.71433167	-1.97560871
MGH36_P3_B11	0.043876101	0.597938197
MGH36_P3_B12	-0.855054374	-0.929301715
MGH36_P3_C01	-0.522207912	-0.691801554
MGH36_P3_C03	-1.024989919	-1.615935977
MGH36_P3_C04	1.843230772	-1.686311115
MGH36_P3_C05	-0.957208566	-0.895916133
MGH36_P3_C06	0.047485509	0.217465345
MGH36_P3_C08	-0.682064142	-0.756960817
MGH36_P3_C11	-0.848316614	-1.228945057
MGH36_P3_C12	-1.176161109	-1.26299071
MGH36_P3_D01	-1.819875933	-1.296930711
MGH36_P3_D02	-0.653817663	-0.795441551
MGH36_P3_D03	-0.586665606	-0.155116344
MGH36_P3_D04	-1.189717797	-1.161605843
MGH36_P3_D07	0.61768342	-0.123152869
MGH36_P3_D08	-0.44654826	-0.059182334
MGH36_P3_D09	-1.267577218	-1.494887104
MGH36_P3_D11	-1.450139057	-1.473651202
MGH36_P3_E02	-0.6721194	-0.210894027
MGH36_P3_E04	1.590671417	-1.299827952
MGH36_P3_E05	-1.084538396	-1.082210488
MGH36_P3_E08	-1.136751864	-0.841836426
MGH36_P3_E09	-1.366477529	-1.800157828
MGH36_P3_E10	-1.027288827	-1.041851828
MGH36_P3_E11	-1.09303791	-0.909034207
MGH36_P3_E12	0.075168699	1.366524946
MGH36_P3_F02	-1.986945951	-1.857113796
MGH36_P3_F05	0.226618706	-0.126960051
MGH36_P3_F06	-1.344586342	-1.362764657
MGH36_P3_F07	-1.509290666	-1.375280494
MGH36_P3_F08	-1.043889981	-1.248881647
MGH36_P3_F09	-1.227962232	-0.556421205
MGH36_P3_F10	0.703877887	-0.646958887
MGH36_P3_F11	1.474327678	-1.286494785
MGH36_P3_F12	-1.104498515	-0.615260068
MGH36_P3_G01	1.355649641	-1.207945662
MGH36_P3_G02	-0.367472277	-0.007676378
MGH36_P3_G03	-0.680789619	-0.676403143
MGH36_P3_G04	1.745169648	-1.337667144
MGH36_P3_G05	-1.156163432	-1.298877431
MGH36_P3_G06	-0.950769036	-0.301816859
MGH36_P3_G08	-0.603175015	-1.138390098
MGH36_P3_G09	-1.224739839	-1.387540052
MGH36_P3_G10	-1.328686673	-1.117642376
MGH36_P3_G11	0.269787197	-0.035981363
MGH36_P3_G12	0.719357316	-0.512122188
MGH36_P3_H03	-0.908604818	-0.982844463
MGH36_P3_H04	-0.957506997	-0.403240081
MGH36_P3_H05	1.277428697	-0.9129768
MGH36_P3_H07	-1.451055363	-1.174534933
MGH36_P3_H08	1.109035035	-0.598024709
MGH36_P3_H11	1.858613998	-1.826324861
MGH36_P3_H12	-1.472883369	-1.222085601
MGH36_P4_A01	1.237458303	-0.787549309
MGH36_P4_A02	-1.084389824	-0.827224593
MGH36_P4_A03	-0.829634523	-1.277880526
MGH36_P4_A06	1.119718217	-0.903184621
MGH36_P4_A07	0.035234589	0.514480615
MGH36_P4_A08	0.521115223	-0.067571342
MGH36_P4_A11	-0.597176641	-0.148549035
MGH36_P4_A12	-0.749019319	-0.611111631
MGH36_P4_B02	-1.032851257	-0.862880227
MGH36_P4_B04	-1.271491016	-1.471728585
MGH36_P4_B05	1.235401711	-1.086633166
MGH36_P4_B06	-1.342330967	-1.349303617
MGH36_P4_B08	1.642601391	-1.336934955
MGH36_P4_B09	-0.271992769	-0.527997058
MGH36_P4_B12	1.049660143	-0.248977919
MGH36_P4_C02	-0.713401897	-0.397881364
MGH36_P4_C03	1.464769331	-1.178584709
MGH36_P4_C04	-0.465274162	-0.496825512
MGH36_P4_C05	0.877254177	-0.656849431
MGH36_P4_C06	-1.600441609	-1.27069691
MGH36_P4_C07	-0.365709371	-0.171041555
MGH36_P4_C08	-0.377009217	-0.048129087
MGH36_P4_C10	-0.078889584	0.679171514
MGH36_P4_C11	-1.294560652	-1.144428283
MGH36_P4_C12	0.40603497	0.161961014
MGH36_P4_D01	0.077557065	1.279992105
MGH36_P4_D02	0.701990286	-0.454058861
MGH36_P4_D07	-1.355383727	-1.254615723
MGH36_P4_D08	-1.390768208	-1.94145769
MGH36_P4_D09	-1.934781668	-1.554486169
MGH36_P4_D10	-1.159515566	-0.623255352
MGH36_P4_D11	-0.922385044	-0.388293394
MGH36_P4_D12	0.40035349	0.180761878
MGH36_P4_E02	-1.561433885	-1.723410556
MGH36_P4_E04	-0.147212074	0.569946359
MGH36_P4_E07	-0.991765366	-1.042754966
MGH36_P4_E08	-0.593145019	-0.473919467
MGH36_P4_E09	-1.82756758	-1.915920834
MGH36_P4_E11	-1.635185608	-1.21271417
MGH36_P4_E12	0.48202492	1.210090539
MGH36_P4_F01	1.729595277	-1.61799307
MGH36_P4_F02	-0.837764336	-0.707798557
MGH36_P4_F03	-1.592512672	-1.562642042
MGH36_P4_F04	-1.761654551	-1.827570379
MGH36_P4_F05	-1.484032927	-1.115212137
MGH36_P4_F06	-1.813441071	-2.165665386
MGH36_P4_F07	0.507247139	0.083869934
MGH36_P4_F09	-0.11155255	0.2622982
MGH36_P4_F10	0.388801896	0.162135189
MGH36_P4_F11	0.879529174	-0.127153769
MGH36_P4_F12	-1.903657987	-1.773283318
MGH36_P4_G02	-1.331394641	-1.024631578
MGH36_P4_G03	-1.449041536	-0.847012565
MGH36_P4_G04	2.069721122	-1.808680798
MGH36_P4_G05	0.62094499	0.61717065
MGH36_P4_G06	1.049819301	-0.96494418
MGH36_P4_G09	-1.689466297	-0.95471764
MGH36_P4_G10	-0.899678179	-0.790145663
MGH36_P4_G11	1.817054608	-1.490422021
MGH36_P4_H01	1.608666065	-1.660469227
MGH36_P4_H05	0.375637371	-0.01246892
MGH36_P4_H09	1.287275942	-1.104452747
MGH36_P4_H12	-1.038438173	-1.185979261
MGH36_P6_A02	0.074554626	1.188595515
MGH36_P6_A04	1.618917368	-1.364745933
MGH36_P6_A05	-1.05989187	-0.191986954
MGH36_P6_A07	-1.166423982	-1.439463574
MGH36_P6_A08	-0.998008732	-1.630504552
MGH36_P6_A09	-1.85302555	-1.260281564
MGH36_P6_A10	1.109701647	-0.924868048
MGH36_P6_A11	0.39912276	0.138827878
MGH36_P6_B04	0.348680133	0.003816353
MGH36_P6_B05	0.654259228	-0.682115302
MGH36_P6_B06	0.833621514	-0.617588439
MGH36_P6_B10	-1.683875036	-1.926864974
MGH36_P6_B11	1.169106432	-0.419149311
MGH36_P6_C02	0.666871423	-0.438434379
MGH36_P6_C03	-1.046328138	-0.686143043
MGH36_P6_C04	-1.331016523	-1.292467233
MGH36_P6_C05	-1.53692961	-1.622543091
MGH36_P6_C06	-1.772985682	-2.417607618
MGH36_P6_C07	-1.469141301	-1.742825736
MGH36_P6_C08	1.22889857	-1.215165716
MGH36_P6_C09	-1.240568181	-1.190709646
MGH36_P6_C11	-0.663984763	-0.111618591
MGH36_P6_C12	0.877604564	-0.76488619
MGH36_P6_D03	-0.6218023	-0.835783023
MGH36_P6_D04	1.822355129	-1.707101411
MGH36_P6_D06	-1.712831787	-1.629808135
MGH36_P6_D07	-0.768616301	-1.177089065
MGH36_P6_D08	-1.505861283	-1.964247444
MGH36_P6_D10	-1.173904487	-1.54009023
MGH36_P6_D11	-0.617901916	-0.571152727
MGH36_P6_E02	-1.118110952	-0.701362106
MGH36_P6_E03	1.683247914	-1.485420913
MGH36_P6_E04	0.920992476	-1.026825781
MGH36_P6_E05	0.656719837	-0.506202443
MGH36_P6_E06	-1.485372577	-1.642204449
MGH36_P6_E07	0.737677171	-0.14841787
MGH36_P6_E08	-1.771907186	-1.548552274
MGH36_P6_E09	-1.107052555	-0.918134435
MGH36_P6_E10	1.315675501	-0.912934155
MGH36_P6_E12	1.214514625	-0.108629064
MGH36_P6_F01	-1.150098912	-1.270951158
MGH36_P6_F04	-0.996956373	-1.243582732
MGH36_P6_F06	-1.300331565	-1.553484446
MGH36_P6_F07	2.098685644	-2.094415721
MGH36_P6_F08	1.272536082	-1.043526583
MGH36_P6_F10	-0.945196311	-1.277262398
MGH36_P6_F12	1.451636498	-1.469400036
MGH36_P6_G01	1.679725265	-2.076227282
MGH36_P6_G02	-1.845824527	-2.046316387
MGH36_P6_G03	-0.950637821	-0.729417071
MGH36_P6_G04	0.360070069	0.380798784
MGH36_P6_G05	-1.237830937	-1.349665974
MGH36_P6_G07	-0.867747482	-1.048225495
MGH36_P6_G08	-1.409238426	-0.735070131
MGH36_P6_G09	-1.575786795	-1.505610003
MGH36_P6_G10	0.363569782	-0.154593021
MGH36_P6_G11	-1.107894591	-1.265991837
MGH36_P6_G12	-0.441469121	-0.221750925
MGH36_P6_H06	-1.085986434	-1.241929861
MGH36_P6_H07	0.100570223	-0.186477785
MGH36_P6_H10	-1.085493697	-1.492318889
MGH36_P6_H12	1.209292032	-1.338427872
MGH36_P7_A03	-1.324229833	-1.187366398
MGH36_P7_A04	-0.913824827	-0.929173637
MGH36_P7_A06	1.589891502	-1.632533376
MGH36_P7_A09	-1.369899034	-1.576024852
MGH36_P7_A10	-1.077131317	-0.455943534
MGH36_P7_A11	1.22754285	-1.53090979
MGH36_P7_A12	-1.292000491	-1.90535762
MGH36_P7_B02	-1.163524516	-1.106911013
MGH36_P7_B03	-0.60664968	-0.458022656
MGH36_P7_B04	-1.261441683	-1.16628876
MGH36_P7_B06	-0.106876517	-0.226114098
MGH36_P7_B07	0.530700796	0.278201986
MGH36_P7_B08	-1.64551264	-1.429704024
MGH36_P7_B09	0.8485133	-0.070909743
MGH36_P7_B10	0.869726267	-0.596306289
MGH36_P7_B11	0.669863256	-0.107643159
MGH36_P7_D01	0.556531675	0.054380158
MGH36_P7_D02	1.131662903	-0.774805599
MGH36_P7_D03	-1.100881553	-0.795893895
MGH36_P7_D05	-1.314800924	-1.371417325
MGH36_P7_D06	-1.886789638	-2.28247273
